de,en
"Es gibt einen radikalen Extremismus in der Welt, der versessen darauf ist, Menschen zu töten, in die Luft zu sprengen und Regierungen anzugreifen.",There is radical extremism in the world that is hell-bent and determined to try to kill people and blow people up and attack governments.
"Firmen könnten außerdem verpflichtet werden, Rechenschaft über die Anzahl der 457-Visumsinhaber abzulegen, nachdem in der Vergangenheit Unternehmen, die zunächst nur eine kleine Anzahl von Arbeitern unterstützen wollten, schließlich Hunderte eingestellt haben.",Businesses could also be required to account for the number of 457 visa holders after previously businesses who had intended to sponsor a small number of workers then employed hundreds.
"Rockstar befindet sich im Gemeinschaftsbesitz von Apple, Microsoft, BlackBerry, Ericsson und Sony.","Rockstar is jointly owned by Apple, Microsoft, Blackberry, Ericsson and Sony."
"Daher hat man bei den grundlegenden technischen Protokollen nicht darauf geachtet, ein stabiles Fundament für einen anhörsicheren Briefwechsel zu schaffen.","Thus, when developing the underlying technical protocols, no attention was given to creating a stable foundation for the interception-proof exchange of mail."
Nach Angaben der Polizei war eine 41-Jährige aus Müsch gegen 21.15 Uhr mit ihrem Wagen auf dem Kempener Außenring in Richtung Grefrath unterwegs.,"According to information from the police, a 41-year-old from Müsch was travelling in his car on the Kempener bypass in the direction of Grefrath, at around 9.15 p.m.."
"Ist es möglich, E-Mails gegen das Mitlesen zu schützen?",Is it possible to protect e-mails against being read?
Kindergarten hat einen privaten Käufer gefunden,A kindergarten has found a private buyer
Ich habe das schon seit zwanzig Jahren als Plan vorgeschlagen.,I have been advocating it as a plan for twenty years.
Mit dem Empfang des Firmsakraments sagten die Jugendlichen Ja zu ihrer Taufe und erbaten die Kraft des Heiligen Geistes.,"Upon receiving the confirmation sacrament, the young people accepted their baptism and asked for the power of the Holy Spirit."
"In der Zeit, als die Recherchen liefen, erhielten die Großeltern von Pawlby anonyme Anrufe, in denen sie nach Informationen über sie gefragt wurden, erklärte Edis.","During the period she was being investigated, Ms Pawlby's grandparents received anonymous calls asking for information about her, Mr Edis said."
"Was CCAA bedeutet, möchte eine Besucherin wissen.",One visitor wants to know what CCAA means.
"Seinen Vater und so viele seiner Landsleute leiden zu sehen ließ in Bwelle den Entschluss reifen, etwas dagegen zu unternehmen.","Seeing his father and so many of his countrymen suffer, Bwelle was determined to do something about it."
Vergewaltigungen gehören in Südafrika schon fast zum Alltag: Jährlich gibt es etwa 64 000 Anzeigen wegen sexueller Gewalt.,"Rapes are almost part of everyday life in South Africa: There are around 64,000 reports of sexual assault every year."
Mit einem speziellen Teleskop soll die Sonde die Verteilung der Materie im Universum erstmalig am gesamten Himmel untersuchen und so Rückschlüsse auf die Beschaffenheit von Dunkler Materie und Dunkler Energie ermöglichen.,"With a special telescope, the probe is to examine the distribution of material in the universe across the entire sky, thus enabling conclusions to be drawn regarding the properties of dark matter and dark energy."
"Im Gespräch mit vielen Passanten vor der ""Baustelle"" wurde deutlich, dass manche Bürger glauben, dass es mit der Verwirklichung des Projektes der Stadt vielen besser gehen werde, obwohl nicht wenige die gleichen Fragen an die Dimension des vorgestellten Projekts haben wie die BI.","Chatting with many people passing by the ""construction site"", it became clear that many citizens believe the execution of the project would make things much better for the town, although many have the same questions as the citizen's initiative regarding the scale of the planned project."
"Google, Samsung, Huawei wegen Nortel-Patenten verklagt","Google, Samsung, Huawei sued over Nortel patents"
Die Gewinner des Team- und Einzelwettkampfs erhalten Preise.,The winners of the team and individual contests receive prizes.
Sie achten auf gute Zusammenarbeit zwischen Pony und Führer – und da waren Fenton und Toffee die Besten im Ring.,They look for good teamwork between the pony and the handler - Fenton and Toffee were the best in the ring.
"Die beiden 14 und 12 Jahre alten Jungen hatten ihr Opfer eingeladen, mit ihnen auf Vogeljagd zu gehen.","The two boys, aged 14 and 12, had invited their victim to go bird hunting with them."
Der Aachener erlitt schwere Verletzungen und musste zur Behandlung ins Krankenhaus gebracht werden.,The Aachen resident suffered serious injuries and had to be taken to the hospital for treatment.
Die Entscheidung wirkt sich bei US-amerikanischen Gesellschaften je nach Alter der Flotte unterschiedlich aus.,"For US carriers, the impact of the ruling will vary from airline to airline and will depend on the age of their fleet."
"Ausgerechnet jetzt kommt es für das Team von Ingo Ehlers morgen zum Derby gegen den TSV Daverden, der am vergangenen Wochenende seiner ersten Sieg gefeiert hat.","And of all possible times, Ingo Ehler's team has a derby match against TSV Daverden tomorrow, which celebrated their first victory last week."
Auch die Gegenseite blieb hart.,The opposition also remained adamant.
"Nur ein paar Hundert Anhänger hatten sich vor dem Gericht versammelt, um dem neuen Präsidenten zuzujubeln, und im Gegensatz zum präsidialen Prunk aus der Mubarak-Zeit wurde der Verkehr nur kurzzeitig angehalten, damit der Autokonvoi die üblicherweise belebte Straße überqueren konnte, die das Stadtzentrum mit den südlichen Vorstädten verbindet.","Only several hundred supporters gathered outside the court to cheer the new president and, in a departure from the presidential pomp of the Mubarak years, traffic was only briefly halted to allow his motorcade through on the usually busy road linking the city centre with its southern suburbs."
"Es ist ein anstrengendes Pensum, aber die Dorfmusiker helfen normalerweise, das Team motiviert zu halten.","It's a backbreaking pace, but village musicians usually help keep the team motivated."
"In einer Pizzeria weicht er auf Pastagerichte aus, oder bestellt eben eine Pizza ohne Käse, alles eine Frage der Gewohnheit.","In a pizzeria he avoids pasta dishes or just orders a pizza without cheese, all just a question of habit."
Es ist eine orginalgetreue Reproduktion des berühmten Mailänder Vorbildes von Leonardo da Vinci.,It is a faithful reproduction of the famous work Leonardo da Vinci in Milan.
"Beinahe jeden Freitag zwängen er und bis zu 30 Leute sich in Kleinbusse und fahren mit der verschnürten medizinischen Ausrüstung auf dem Dach über unbefestigtes Terrain in die Dörfer, die Hilfe benötigen.","Almost every Friday, he and up to 30 people jam into vans, tie medical supplies to the roofs and travel across rough terrain to visit villages in need."
"So etwa bei Jim Bruce, einem 36 Jahre alten Autor aus Montana, der mit XY-männlichen Chromosomen geboren wurde, aber zweideutigen Genitalien.","Such was the case with Jim Bruce, a 36-year-old writer from Montana, who was born with XY male chromosomes but ambiguous genitals."
"Dort könnten auch größere Fahrzeuge, zum Beispiel solche, die Langholz transportieren, bei Gegenverkehr stehen, ohne die Gleise blockieren zu müssen.","Larger vehicles, for example those that transport long logs, would be able to wait there in the event of oncoming traffic, without having to block the railway line."
"Nicht nur Pferde, sondern auch viele weitere Tiere wie Schafe, Ziegen, Kühe und Hühner sind auf dem Gelände anzutreffen und zu bestaunen.","It is not just horses that can be found and admired on the grounds, but many other animals such as sheep, goats, cows and chickens as well."
"""Es ist wichtig, nicht nur die Familienphase im Blick zu haben, sondern aufgrund des demografischen Wandels auch die Phase um die Pflege der Betreuung von Angehörigen"", erklärte Wolf.","""It is important, not only to keep the family life stage in mind, but, on account of demographic change, the period spent providing long-term care and support for relatives as well,"" explained Wolf."
Wallis Simpson war möglicherweise intersexuell.,Wallis Simpson may have been intersex.
"Feuerwehr zur Rettung eines Hündchens gerufen, das 15 Meter über dem Boden auf einem gefährlichen Felsvorsprung in einem Steinbruch festsaß",Fire crews called to rescue lost puppy after she got stuck 50ft above the ground on precarious ledge in a quarry
"Edis erklärte, Coulsons Aktivitäten bei dieser Story folgten demselben Muster wie bei anderen wichtigen Persönlichkeiten, etwa dem früheren Innenminister David Blunkett.","Mr Edis said Coulson's involvement in the story followed the same pattern as with other important men, such as former home secretary David Blunkett."
"Die Möglichkeiten sind aber begrenzt, Cheops ist eine kleine Mission mit einem Budget von 150 Millionen Euro.","The possibilities are, however, limited - Cheops is a small mission with a budget of 150 million Euro."
Das ist die alte Geschichte vom Zeigen statt Erzählen.,The old basis of showing not telling.
"Fahrer, der mit 210 km/h und heißem Getränk zwischen den Beinen gerast war, erhält 1.000 £ Strafe","Driver speeding at 130mph with hot drink between legs fined £1,000"
Eine intersexuelle Person sagte laut BBC Jahre später: „Ich bin weder Mann noch Frau.“,"One intersex person, according to the BBC, said years later, ""I am neither a man nor a woman."""
"Am 22. Oktober 1913 kommt Hansjakob heim in seinen Kinderhimmel, in seinen Freihof.","On 22 October 1913, Hansjakob returned home to his childhood paradise, to his Freihof."
Damit werden alle Beteiligten leben können.,All those involved will be happy with that evaluation.
"Doch sollten die Passagiere nicht erwarten, dass diese Änderungen sofort umgesetzt werden.",But passengers shouldn't expect changes to happen immediately.
"Mit Burfien hat die Landeskirche erstmals einen Pastor auf einer vollen Stelle beauftragt, junge Leute für das Theologiestudium zu begeistern.","With Burfien, the regional church has for first time commissioned a minister to work full time, endeavouring to inspire young people to study theology."
"Die neue Saison in der Falkenberger Discothek ""Blue Velvet"" hat begonnen.","The new season in the Falkenberg ""Blue Velvet"" club has begun."
Vorschriften zu elektronischen Geräten in Flugzeugen bleiben in Australien vorläufig in Kraft,Aircraft electronic device rules to stay in force in Australia for now
"Im Verein war Wermter ebenfalls aktiv, unter anderem 28 Jahre lang als Mitglied des Ausschusses.","Wermter has also been active within the association, serving as a member of the committee for 28 years, among other roles."
"Er sagte, NotW verwende drei Verfahren, um Geschichten investigativ zu recherchieren: Telefon-Hacking, Überwachung und Konfrontation.","He said the NotW used three ways to investigate stories: phone hacking, surveillance, and confrontation."
"Sie ist die Tochter von Peter Tunks, einem ehemaligen Spieler der australischen Rubgy-Liga, der sich an das Außenministerium in Canberra mit der Bitte um Hilfe für seine Tochter gewandt hat.","She is the daughter of former Australian league player Peter Tunks, who has appealed to the Department of Foreign Affairs in Canberra to assist his daughter."
Zuhälter muss ins Gefängnis,Pimp must go to prison
In einer Mitteilung machte der Betreiber technische Probleme verantwortlich.,"In an announcement, the operator cited technical problems as the reason."
"Experten sagen, dass Geständnisse immer noch routinemäßig erzwungen werden, trotz einer Gesetzesänderung Anfang des Jahres, in der den Behörden verboten wurde, jemanden zu zwingen, sich selbst zu beschuldigen.","Experts say confessions are still routinely coerced, despite a change in the law earlier this year banning the authorities from forcing anyone to incriminate themselves."
"Außerdem betonte Fuchtel, dass globale Wirtschaft auch globale Menschenliebe verlange.",Fuchtel also emphasised that a global economy requires global human kindness.
"„Wenn von hinten auf das Fahrzeug aufgefahren wird, ist es möglich, dass die Kopfstütze die Insassen nicht richtig schützt, sodass ein erhöhtes Verletzungsrisiko besteht“, war in der Nachricht auf der Website der National Highway Traffic Safety Administration (NHTSA) zu lesen.","""If the vehicle is struck from behind, the head restraint may not properly protect occupants, increasing the risk of injury,"" according to the notice posted on the National Highway Traffic Safety Administration website."
"Auch wenn es erste Anzeichen gab und wir über Menstruation gesprochen hatten, war sie emotional nicht vorbereitet.","Even though there were signs and we had talked about menstruation, she was not emotionally prepared."
GM ruft neue Pickup-Trucks in den USA zur Reparatur der Sitzlehne zurück,GM recalls some new pickup trucks in U.S. to fix seatbacks
Land Rover Rally Series angekündigt,Land Rover rally series announced
"Während Daley die Untersuchungen als „gebotene Sorgfalt“ bezeichnete, sagte Martin gegenüber Anderson Cooper von CNN, dass während der Kampagne für die Wiederwahl erheblicher Aufwand betrieben worden sei, um herauszufinden, ob ein solcher Zug sich im Hinblick auf die Wahlurnen auszahle.","While Daley characterized the research as ""due diligence,"" Martin told CNN's Anderson Cooper that the re-election campaign made a significant investment in finding out whether the move would pay dividends at the polls."
Nicht zuletzt fällt in der Kirche auch der Blick auf das von Friedrich Schüz mit Unterstützung von Walter Kröll und Georg Halbritter geschaffene Abendmahlgemälde.,"Last but not least, while in the church eyes will also turn to the last supper painting, painted by Friedrich Schüz with the support of Walter Kröll and Georg Halbritter."
Zu verdanken sei der Überschuss vor allem höheren Gewerbesteuereinnahmen und dem Gemeindeanteil an der Einkommenssteuer.,The surplus is primarily due to higher trade tax income and the local authorities' contribution towards income tax.
"„Wir freuen uns, dass die FAA erkennt, dass ein angenehmes Passagiererlebnis nicht im Widerspruch zur Sicherheit steht“, sagte Roger Dow, CEO der U.S. Travel Association.","""We're pleased the FAA recognizes that an enjoyable passenger experience is not incompatible with safety and security,"" said Roger Dow, CEO of the U.S. Travel Association."
"Die Staatsanwaltschaft hatte eine lebenslange Haftstrafe gefordert, auch wenn sie für den Mann, der wegen seines Rufs als meisterlicher Bombenbauer auch als „Demolition Man“ bezeichnet wird, die Todesstrafe hätte beantragen können.","Prosecutors had demanded a life sentence, although they could have pushed that the man dubbed the ""Demolition Man"" for his reputation as a master bomb-maker be sentenced to death."
"Sie erklärte Bedeutung und Herkunft der Redewendungen, die sie ""Brücken in die Vergangenheit"" nannte.","She explained the meaning and origin of the expressions, which she referred to as ""bridges to the past""."
"Zu den Festgenommenen wurden keine Einzelheiten bekannt gegeben, zumindest einer sei Mexikaner, hieß es.","No specific details were given regarding those detained, but it is reported that at least one is Mexican"
