source,reference,hypothesis,chrf,bertscore_p,bertscore_r,bertscore_f1,glossary_hits,glossary_misses,capitalised_noun_count,separable_verb_count,error_category
"Im September begann das Unternehmen damit, bei Buchung über ein Online-Reisebüro nur noch halb so viele Vielfliegermeilen zu vergeben.",In September it began giving half as many frequent flier miles to customers who bought through an online travel agency.,"In September, the company began to award only half as many frequent flyer miles when booking via an online travel agency.",57.75,0.9635,0.9579,0.9607,,,5,0,GOOD
"Es fällt schwer, sich an diese optimistischen Zeiten zu erinnern – sie scheinen eine vage Erinnerung zu sein, eine traurige Mahnung an verpasste Möglichkeiten.","It's hard to remember those days of optimism -- they seem a distant memory, a sad reminder of opportunities gone by.","It's hard to remember these optimistic times – they seem to be a vague memory, a sad reminder of missed possibilities.",56.36,0.9691,0.9599,0.9644,,,4,0,GOOD
"Es wäre für Schottland lächerlich, sich jetzt für eine Unabhängigkeit zu entscheiden, nur um dann von Berlin und Brüssel eine Sparpolitik aufgezwungen zu bekommen.",It would be ridiculous now for Scotland to vote for independence only to accept austerity imposed by Berlin and Brussels.,"It would be ridiculous for Scotland to opt for independence now, only in order to get a austerity policy imposed by Berlin and Brussels.",74.69,0.9386,0.9553,0.9468,,,2,0,GOOD
Außerdem lobte er die Familienfreundlichkeit im Landkreis.,He also praised the family-friendly approach within the district.,He also praised family friendliness in the county.,42.69,0.958,0.9472,0.9526,,,2,0,GOOD
Im Ernstfall erfolgt eine Unterstützung über die Tageseinsatzgruppe Königsfeld.,"In case of emergency, support is provided by the Königsfeld daytime task force.","In the event of an emergency, support will be provided by the day intervention group Königsfeld.",53.88,0.9422,0.9403,0.9413,,,4,0,GOOD
"Die schattenhafte National Security Agency erklärte am späten Freitag, ein Fehler habe ihre öffentliche Website einige Stunden lahmgelegt und nicht Hacker, wie online behauptet wurde.","The shadowy National Security Agency said late Friday that it was a glitch that brought down its public website for a few hours, not hackers as some claimed online.","The shadowy National Security Agency declared late Friday that a mistake has paralyzed their public website for several hours and not hackers, as was claimed online.",62.38,0.9623,0.9558,0.9591,,,5,0,GOOD
"Nach dem Besuch des Atomkeller-Museums soll die Haigerlocher Zeit nach 1850 betrachtet werden, als Haigerloch unter preussische Herrschaft kam.","Following a visit to the Nuclear Bunker Museum, the focus will turn to Haigerloch in the period after 1850, when Haigerloch came under Prussian rule.","After the visit of the Atomkeller Museum, the Haigerlocher period after 1850 was to be considered when Haigerloch came under Prussian rule.",59.0,0.9168,0.9338,0.9252,,,5,0,GOOD
Das Unternehmen hat am Standort gleich mehrere Eisen im Feuer.,"At the same time, the company also has other irons in the fire at the location.",The company has several irons in the fire at the site.,46.33,0.9703,0.9428,0.9563,,,4,0,GOOD
"Kritiker wie die demokratische Senatorin Claire McCaskill aus Missouri vertreten die Ansicht, es gebe keine gültigen Sicherheitsgründe für das Verbot.","Critics such as Sen. Claire McCaskill, D-Mo., contend there is no valid safety reason for the prohibitions.",Critics such as Democratic Senator Claire McCaskill from Missouri argue that there are no valid reasons for the ban.,48.02,0.9612,0.9619,0.9616,,,5,0,GOOD
RBS suspendiert zwei Devisenhändler,RBS suspends two forex traders,RBS suspends two foreign exchange traders,79.1,0.9902,0.9902,0.9902,,,1,0,GOOD
Dort soll beim Sägen ein Kurzschluss entstanden sein.,A short-circuit was reported to have occurred there during sawing.,A short circuit is said to have been created there during sawing.,58.6,0.9575,0.9603,0.9589,,,1,0,GOOD
Der Handel am Nasdaq Options Market wurde am Freitagnachmittag deutscher Zeit unterbrochen.,"Trading at the Nasdaq Options Market was interrupted on Friday afternoon, German time.",The trade at the Nasdaq Options Market was interrupted on Friday afternoon of German time.,86.36,0.9802,0.9775,0.9788,,,4,0,GOOD
Vor allen Dingen in der Deckungsarbeit und beim Umschaltspiel haperte es zuletzt doch gewaltig.,"There have been major problems, primarily in terms of covering and counter attacking.",Above all in the cover work and during the switch-over game it had a huge hap.,18.94,0.8707,0.8937,0.882,,,3,0,REVIEW
Gestern relativierte Obama sein ursprüngliches Versprechen.,"Yesterday, Obama tweaked his original pledge.",Yesterday Obama relativized his original promise.,56.32,0.9309,0.9561,0.9433,,,2,0,GOOD
"Uli als Chef der großen Schinkenfabrik im Schwarzwald erklärt Jumbo die Arbeitsweise der Firma ""Adler"" in Bonndorf.","Uli, boss of the large ham factory in Schwarzwald, explained to Jumbo how the Bonndorf company, ""Adler"", operates.","As head of the large ham factory in the Black Forest, Jumbo explains the working methods of the company ""Adler"" in Bonndorf.",49.84,0.9409,0.9377,0.9393,,,4,0,GOOD
"Nächste Station des Rundgangs ist das Prätorium, und hier steigen die Teilnehmer wieder hinunter in die Tiefe.","The next stop on the tour is the praetorium, where participants once again descend to the depths.","The next stop of the tour is the praetorium, and here the participants climb down again into the depth.",68.0,0.9538,0.9634,0.9586,,,5,0,GOOD
"Milch, Käse, Ei, neben den Verzicht auf Fleisch und Fisch lässt der Veganer vom sämtlichen Verzehr tierischer Produkte ab - auch Honig wird verneint.","Milk, cheese, egg - alongside avoiding meat and fish, vegans refrain from eating all products of animal origin - even honey is not permitted.","Milk, cheese, egg, in addition to the absence of meat and fish, the vegan abandons all consumption of animal products - honey is also denied.",44.66,0.9356,0.9357,0.9357,,,10,0,GOOD
"Deutschland und ein paar seiner Satelliten-Wirtschaften halten vielleicht am Euro fest, aber Frankreich und Südeuropa werden zu ihren eigenen Währungen zurückkehren.",Germany and a few of its satellite economies might keep the euro but France and southern Europe will revive their own currencies.,"Germany and a few of its satellite economies may hold onto the euro, but France and Southern Europe will return to their own currencies.",77.82,0.9783,0.9862,0.9822,,,3,0,GOOD
Für Fragen und Informationen steht das Tourismusbüro der Stadt Haigerloch zur Verfügung.,The Haigerloch Town Tourist Office is available for questions and to provide you with information.,For questions and information the tourist office of the city of Haigerloch is available.,56.31,0.9542,0.9423,0.9482,,,5,0,GOOD
"„War das in diesen Telefongesprächen besprochene Thema die Ausarbeitung der kommerziellen Verpachtungsregelungen?“, fragte das stellvertretende Kommissionsmitglied Anthony Whealy Tripodi.","""Was the matter being discussed in the course of these telephone conversations the development of the commercial lease policy,"" Assistant Commissioner Anthony Whealy asked Mr Tripodi.","""Was the subject discussed in these telephone conversations the development of commercial lease arrangements?"" asked Deputy Commissioner Anthony Wheaty Tripodi.",66.83,0.9393,0.9268,0.933,,,5,0,GOOD
"Meine Klassenkameraden weinten vor Freude und meine Eltern sammelten alle Zeitungen, die sie finden konnten.","My classmates cried with joy, and my parents saved every newspaper they could find.",My classmates cried with joy and my parents gathered all the newspapers they could find.,73.66,0.9784,0.98,0.9792,,,4,0,GOOD
"Fest steht, dass die 19 Jahre alte Lenkerin eines VW Golf in Richtung Revensdorf fuhr und der 38-jährige Mann aus Gettorf ihr mit seinem Hyundai entgegen kam.",What is certain is that the 19-year-old female driver of a VW Golf was driving in the direction of Revensdorf and the 38-year-old man from Gettorf came towards her in his Hyundai.,It is clear that the 19-year-old driver of a VW Golf drove towards Revensdorf and the 38-year-old man from Gettorf met her with his Hyundai.,62.3,0.9747,0.9629,0.9687,,,5,0,GOOD
"Die Katastrophen seiner katholischen Dorfkindheit - die Sprachlosigkeit, der Hang zu roher Gewalt und stumpfer Sexualität, die Enge und Freudlosigkeit - hat der Kärntner Dichter vielfach beschrieben.","The catastrophes of his Catholic village upbringing - the speechlessness, his tendency towards brute force and dulled sexuality, the confinement and lack of joy - all of this has been described many times by the Kaernten-born poet.","The Carinthian poet has often described the catastrophes of his Catholic village childhood - the speechlessness, the tendency to raw violence and dull sexuality, the narrowness and joylessness.",53.15,0.9421,0.9294,0.9357,,,9,0,GOOD
"Die SPD möchte den Zwang für in Deutschland geborene Zuwandererkinder, sich für eine zu entscheiden, beenden - die Union lehnt einen Doppelpass ab.",The SPD would like to put an end to the pressure placed on immigrant children to decide on one nationality - the Union rejects the notion of a dual passport.,The SPD wants to end the pressure for immigrant children born in Germany to opt for one - the Union rejects a double passport.,46.67,0.9364,0.9383,0.9373,,,4,0,GOOD
"Wer Köln besucht, kommt am Dom nicht vorbei.",Anyone visiting Cologne cannot miss the cathedral.,Those who visit Cologne do not pass the cathedral.,50.88,0.9304,0.9411,0.9357,,,1,0,GOOD
Körperliche Veränderungen bedeuten noch nicht unmittelbar die Pubertät,Physical changes don't mean puberty is imminent,Physical changes do not directly mean puberty,64.36,0.9593,0.9534,0.9564,,,2,0,GOOD
Vor kurzem erst ist ein Buch von ihr erschienen zum Thema 'Glücklich wohnen im Alter - Welche Wohnform ist die beste für mich?'.,"Only recently, she released a book on the subject of ""Living happily in old age - Which type of property is the best for me?"".","Recently, a book by her has appeared on the topic 'Happy Living in Age - Which Housing Form Is the Best for Me?'.",34.54,0.9372,0.9384,0.9378,,,4,0,FLUENCY
"Allerdings gebe es verschiedene Zeugenaussagen, die erst ausgewertet werden sollten.","However, they did mention that there were various witness statements that first had to be assessed.","However, there are various testimonies that should first be evaluated.",35.78,0.9574,0.9332,0.9451,,,1,0,FLUENCY
"Hier ganz besonders Lothar Held, Paul Weizenegger, Heiner Gail und Peter Graf.","Particular mention went out to Lothar Held, Paul Weizenegger, Heiner Gail and Peter Graf.","Especially Lothar Held, Paul Weizenegger, Heiner Gail and Peter Graf.",68.69,0.977,0.9484,0.9625,,,0,0,GOOD
"""Ein unruhiger Geist hatte endlich seine Ruhe gefunden und war für immer heimgegangen"", hieß es am Ende des Szenenspiels.","The role-play ended with the words ""A restless spirit finally found rest and returned home forever"".","""A restless spirit had finally found its rest and had gone home forever,"" it was said at the end of the scene play.",51.76,0.9194,0.935,0.9271,,,4,0,GOOD
Bis zum jetzigen Zeitpunkt kann die Polizeiinspektion Kempten auf eine ruhige Halloween-Nacht zurückblicken.,"Thus far, the Kempten Police Department can look back on a calm Halloween night.","Until the present time, the police inspection Kempten can look back on a quiet Halloween night.",52.73,0.9324,0.9446,0.9385,,,4,0,GOOD
Jeder Hersteller plant anders.,Every manufacturer schedules it in a different way.,Each manufacturer plans differently.,45.22,0.957,0.9243,0.9404,,,1,0,GOOD
"""Neu daran ist, dass die sechsmonatigen Kurse mit Abschlüssen enden"", sagte Carmen Wiechert von der Arbeitsagentur Neubrandenburg.","""What's innovative about it is that the six-month courses end with diplomas,"" said Carmen Wiechert of the Neubrandenburg Employment Agency.","""It's new that the six-month courses end with degrees,"" said Carmen Wiechert of the employment agency Neubrandenburg.",65.25,0.9718,0.958,0.9648,,,3,0,GOOD
"""Ich hoffe, dass wir endlich mal den Kopf frei haben"", gibt sich Ehlers verhalten optimistisch.","""I hope that we finally have our heads clear,"" commented Ehlers, remaining cautiously optimistic.","""I hope that we finally have our heads clear,"" Ehlers says with a behaving optimistically.",61.54,0.9417,0.9625,0.952,,,1,0,GOOD
"Zwar sei die Quote mit 3,1 Prozent besser als vergangenes Jahr und auch besser als im September, ""wir hätten uns aber mehr erhofft"", sagt Monika Felder-Bauer, stellvertretende Geschäftsstellenleiterin der Agentur für Arbeit in Sonthofen.","The rate of 3.1 per cent is indeed better than the previous year and is also better than in September, ""however, we had hoped for more,"" said Monika Felder-Bauer, acting branch manager of the Employment Agency in Sonthofen.","Although the quota was 3.1 percent better than last year and better than in September, ""we had hoped for more,"" says Monika Felder-Bauer, deputy head of the employment agency in Sonthofen.",59.46,0.961,0.9442,0.9525,,,8,0,GOOD
"Honeck dankte in diesem Rahmen allen, die geholfen hatten, den ersten Musikerhock erfolgreich zu bewältigen.","In so doing, Honeck thanked all those who had helped successfully manage the first Musikerhock.","In this context, Honeck thanked all those who had helped to successfully overcome the first musician's shock.",65.87,0.9395,0.9392,0.9393,,,2,0,GOOD
Im Alter hat jeder so seine Ticks und Macken,In old age everyone has their quirks and ticks.,"When you're old, everyone's got their Ticks and Macks",37.81,0.8977,0.9267,0.912,,,3,0,REVIEW
"Dieser Händler, Richard Usher, hatte die RBS 2010 verlassen und soll inzwischen von seiner derzeitigen Position als europäischer Leiter des Forex-Spot-Handels bei JPMorgan beurlaubt worden sein.","This trader, Richard Usher, left RBS in 2010 and is understand to have be given leave from his current position as European head of forex spot trading at JPMorgan.","This trader, Richard Usher, had left the RBS in 2010 and is now expected to have been suspended from his current position as European head of Forex spot trading at JPMorgan.",76.69,0.9696,0.9675,0.9685,,,4,0,GOOD
"„Nach Auffassung der Staatsanwaltschaft ist Coulson, der jetzt Herausgeber der NotW ist, niemand, der vor der Wohnung von Leuten steht und hofft, sie auf frischer Tat zu ertappen, sondern einer, der Leute gern mit einer Geschichte konfrontiert, um ihre Reaktion zu sehen“, erklärte Edis.","""The prosecution suggests that Mr Coulson, who is now the editor of the NotW, he is not the man who stands outside people's houses hoping to catch them out, he is the man who likes to put the story to people to see what they will say,"" Mr Edis said.","""According to the prosecutor's office, Coulson, who is now the editor of NotW, is no one standing in front of people's homes hoping to catch them in a fresh act, but one who likes to confront people with a story to see their reaction,"" Edis explained.",48.49,0.9296,0.9286,0.9291,,,10,0,GOOD
"Die US-amerikanische Federal Aviation Administration (FAA) ermöglicht US-Fluggesellschaften, ihre Vorgaben zu ändern, sodass Passagiere auf ihren Geräten während kritischer Flugphasen E-Books lesen, Videos sehen oder spielen können, sofern diese sich im „Flugmodus“ befinden.","The US Federal Aviation Administration has left the way open for American carriers to change their procedures so that passengers will be able to read e-books, watch videos or play games on their devices during critical phases of flight provided they remain in ""airplane"" mode.","The US Federal Aviation Administration (FAA) allows US airlines to change their specifications so that passengers can read, watch or play e-books on their devices during critical phases of flight, provided they are in flight mode.",59.79,0.9545,0.9467,0.9506,,,9,0,GOOD
"„Das Redaktionsmanagement des Neuen Express war ungeordnet“, gab die Regulierungsbehörde in einer Erklärung bekannt.","""New Express's editorial management was disordered,"" the regulator said in a statement.","""The editorial management of the New Express was disordered, the regulator announced in a statement.",75.04,0.9541,0.9595,0.9568,,,4,0,GOOD
"Am Samstag, 26. Oktober, wird diese außergewöhnliche Messe ab 19 während der Abendmesse in der St. Martinuskirche Dunningen und am Sonntag, 27. Oktober, ab 10.15 Uhr beim Gottesdienst in der St. Johannes Baptistkirche in Lackendorf zu hören sein.","On Saturday 26 October, this exceptional mass will be heard from 7.00 p.m. during the evening mass in the St. Marinuskirche Dunningen and on Sunday 27 October, from 10.15, at the service in the St. Johannes Baptistkirche in Lackendorf.","On Saturday, 26 October, this extraordinary Mass will be held from 19 during the evening Mass at St. Martinus Church Dunningen and on Sunday, 27 October, from 10.15 a.m. at the divine service at St. Johannes Baptist Church in Lackendorf.",64.84,0.9478,0.9332,0.9404,,,9,0,GOOD
Er sagt: „Ich möchte gern eine unsichtbare Eiscreme entwickeln.“,"He said: ""I really want to develop an invisible ice cream.""","He says: ""I want to develop an invisible ice cream.",73.64,0.9858,0.9722,0.9789,,,1,0,GOOD
"Frontier Airlines plant, bis zu 100 US-Dollar von Passagieren zu verlangen, die auf ihrem Flug Handgepäck verstauen möchten.",Frontier Airlines plans to charge up to $100 for passengers to store carry-on luggage on board their flight.,Frontier Airlines plans to charge up to US$100 from passengers who wish to store hand luggage on their flight.,69.67,0.9592,0.9683,0.9637,,,3,0,GOOD
"""Meine B12-Werte sind in Ordnung"", erklärt er.","""My B12 values are fine,"" he explained.","""My B12 values are fine,"" he explains.",91.24,0.9967,0.9967,0.9967,,,2,0,GOOD
"„So funktioniert das nicht“, sagt Hasso Plattner, Vorsitzender des deutschen Softwareherstellers SAP.","""That's not the way,"" Hasso Plattner, chairman of German business software company SAP, says.","""That's not how it works,"" says Hasso Plattner, Chairman of the German software manufacturer SAP.",51.87,0.9736,0.9736,0.9736,,,2,0,GOOD
In der B-Klasse standen sich in der Murgtalhalle in Baiersbronn die zweiten Mannschaften aus Baiersbronn und Freudenstadt gegenüber.,"In the B Class, two teams from Baiersbronn and Freudenstadt faced off in the Murgtalhalle in Baiersbronn.","In the B-Class, the second teams from Baiersbronn and Freudenstadt faced each other in the Murgtalhalle in Baiersbronn.",83.48,0.9773,0.9844,0.9808,,,4,0,GOOD
"Vor zehn Jahren hatte der lokale Künstler Martin Andersen den Vorschlag präsentiert, die Strahlen mit Spiegeln ins Tal zu lenken.","Ten years ago, local artist Martin Andersen presented the proposal of directing the sun into the valley using mirrors.","Ten years ago, the local artist Martin Andersen had presented the proposal to direct the rays with mirrors into the valley.",71.16,0.9672,0.9747,0.9709,,,6,0,GOOD
"Man muss sich in Erinnerung rufen, dass der Präsident damals furchtbare Umfragewerte hatte, also dachten wir: „Um Gottes Willen, was machen wir?“","You have to remember, at that point the President was in awful shape, so we were like, ""Holy Christ, what do we do?""","It must be remembered that the president at that time had terrible polls, so we thought: ""For God's sake, what are we doing?",34.64,0.9084,0.9124,0.9104,,,5,0,REVIEW
"Die Ankündigung der Band kam, nachdem sie zuvor schon einen Auftritt in der LG Arena in Birmingham am Donnerstag verschieben musste.",The band's announcement came after they were forced to similarly postpone a gig at the LG Arena in Birmingham on Thursday.,The band's announcement came after having to postpone a performance at the LG Arena in Birmingham on Thursday.,71.33,0.9814,0.9628,0.972,,,5,0,GOOD
"Im Vereinslokal der Gaststätte ""Witteborg"" in Dinker genossen alle das harmonische Miteinander ganz im Zeichen der Musik.","In the clubhouse at the ""Witteborg"" Inn in Dinker, all those present enjoyed the friendly get-together in the name of music.","In the club restaurant of the restaurant ""Witteborg"" in Dinker everyone enjoyed the harmonious coexistence in the sign of music.",44.21,0.9193,0.9237,0.9215,,,5,0,GOOD
Bis zur Fertigstellung werden aber noch einige Jahre vergehen.,"However, it will be a few years before it is complete.","However, some years will pass before completion.",46.58,0.9371,0.928,0.9325,,,2,0,GOOD
Was sind die grundlegenden physikalischen Gesetze des Universums?,What are the basic physical laws of the Universe?,What are the basic physical laws of the universe?,90.69,0.9905,0.9949,0.9927,,,2,0,GOOD
"Seit 2006 seien acht derartige Tunnel entdeckt worden, hieß es auf der Pressekonferenz in San Diego weiter.","Since 2006, eight tunnels of this type have been discovered, the press conference in San Diego continued.","Since 2006, eight such tunnels have been discovered, the press conference in San Diego continued.",84.11,0.9928,0.9851,0.9889,,,2,0,GOOD
"Zwar wird es keine formelle Anforderung geben, im Stundenplan mehr Zeit für Mathematik vorzusehen, doch aus Koalitionskreisen heißt es, die umfassende Matheprüfung – kombiniert mit einer stärkeren Gewichtung des Fachs in Ranglisten – werde Schulen vermutlich dazu ermutigen, mehr Stunden anzusetzen.","While there will be no formal requirement to devote more of the timetable to maths, Coalition sources said the extensive maths GCSE - combined with more weighting for the subject in league tables - was likely to encourage schools to provide extra teaching.","Although there will be no formal requirement to provide more time for mathematics in the timetable, coalition circles say that the comprehensive math exam – combined with a stronger emphasis on the subject in rankings – will probably encourage schools to spend more hours.",54.32,0.9353,0.9318,0.9336,,,11,0,GOOD
"Viel Spaß versprechen auch die vielen alten Spiele, wie Schubkarren-Rennen oder Stelzenlaufen.","The host of old games, such as wheelbarrow racing or walking on stilts, promises plenty of fun.","The many old games, such as wheelbarrow races or stilt runs, also promise a lot of fun.",55.71,0.9618,0.9602,0.961,,,4,0,GOOD
Laut deutschen Medien wollte das BVT das Vorhandensein von Überwachungsantennen nachweisen und die Aktion führte zu einem Wortwechsel zwischen den USA und dem deutschen Außenministerium in Berlin.,German media say the BfV hoped to identify the presence of listening antennas and the action prompted an exchange between the US and the German foreign ministry in Berlin.,"According to the German media, BAT wanted to demonstrate the presence of surveillance antennas and the action led to an exchange of views between the US and the German Foreign Ministry in Berlin.",62.81,0.9503,0.9453,0.9478,,,6,0,GOOD
"Frontier-Sprecherin Kate O'Malley sagte, die Gebühr von 100 US-Dollar ziele darauf ab, Reisende zu bewegen, sich im Vorfeld um die Zahlung zu kümmern.",Frontier spokeswoman Kate O'Malley said the $100 fee is to get travelers to take care of the charge in advance.,Frontier spokesman Kate O'Malley said the fee of $100 is aimed at moving travelers to take care of the payment in advance.,70.43,0.9584,0.9683,0.9633,,,6,0,GOOD
Neben dem Kohleimport setzt Rhenus Midgard unter anderem auf Windanlagen-Logistik.,"Besides coal imports, Rhenus Midgard is also active in the field of wind park logistics, among other ventures.","In addition to coal imports, Rhenus Midgard also relies on wind turbine logistics.",44.7,0.9535,0.9318,0.9425,,,3,0,GOOD
"Doch bisher sind verbindliche Bestellungen für die CSeries mit 177 moderat, da potenzielle Käufer auf die Ergebnisse der Flugtests warten und sehen möchten, ob die Behauptungen des Unternehmens hinsichtlich Treibstoffeffizienz und Kosteneinsparpotenzial des neuen Düsenverkehrsflugzeugs zutreffend sind.",But firm orders for the CSeries are moderate so far at 177 as potential buyers wait for flight test results to validate the company's claims about the new jetliner's fuel efficiency and cost savings potential.,"However, binding orders for the CSeries have so far been moderate at 177, as potential buyers are waiting for the results of the flight tests and want to see whether the company's claims regarding fuel efficiency and cost-saving potential of the new jet airliner are true.",63.9,0.9519,0.9644,0.9581,,,10,0,GOOD
"Anschließend gestand er als erstes hochrangiges Mitglied der US-amerikanischen Regierung ein, dass die US-Spionage eine Grenze überschritten habe, betonte aber auch, dass keine Rechte missbraucht worden seien.","He then became the first high-ranking member of the U.S government to admit that US spying had crossed the line, but emphasised that no one's rights had been abused.","He then became the first high-ranking member of the U.S. government to admit that the US espionage had crossed a border, but also stressed that no rights had been abused.",73.41,0.9591,0.9556,0.9574,,,5,0,GOOD
"Es gibt einen radikalen Extremismus in der Welt, der versessen darauf ist, Menschen zu töten, in die Luft zu sprengen und Regierungen anzugreifen.",There is radical extremism in the world that is hell-bent and determined to try to kill people and blow people up and attack governments.,"There is a radical extremism in the world that is obsessed with killing, blowing up people and attacking governments.",56.64,0.9671,0.9485,0.9577,,,5,0,GOOD
"Firmen könnten außerdem verpflichtet werden, Rechenschaft über die Anzahl der 457-Visumsinhaber abzulegen, nachdem in der Vergangenheit Unternehmen, die zunächst nur eine kleine Anzahl von Arbeitern unterstützen wollten, schließlich Hunderte eingestellt haben.",Businesses could also be required to account for the number of 457 visa holders after previously businesses who had intended to sponsor a small number of workers then employed hundreds.,"Companies could also be required to account for the number of 457 visa holders, after hundreds of companies, which initially only wanted to support a small number of workers, were finally shut down.",60.1,0.9283,0.9369,0.9326,,,8,0,GOOD
"Rockstar befindet sich im Gemeinschaftsbesitz von Apple, Microsoft, BlackBerry, Ericsson und Sony.","Rockstar is jointly owned by Apple, Microsoft, Blackberry, Ericsson and Sony.","Rockstar is jointly owned by Apple, Microsoft, BlackBerry, Ericsson and Sony.",94.5,0.9908,0.9846,0.9877,,,2,0,GOOD
"Daher hat man bei den grundlegenden technischen Protokollen nicht darauf geachtet, ein stabiles Fundament für einen anhörsicheren Briefwechsel zu schaffen.","Thus, when developing the underlying technical protocols, no attention was given to creating a stable foundation for the interception-proof exchange of mail.","For this reason, the basic technical protocols have not been taken into account in creating a stable foundation for a reliable exchange of letters.",48.1,0.9344,0.9306,0.9325,,,3,0,GOOD
Nach Angaben der Polizei war eine 41-Jährige aus Müsch gegen 21.15 Uhr mit ihrem Wagen auf dem Kempener Außenring in Richtung Grefrath unterwegs.,"According to information from the police, a 41-year-old from Müsch was travelling in his car on the Kempener bypass in the direction of Grefrath, at around 9.15 p.m..","According to the police, a 41-year-old from Müsch was driving her car on the Kempener outer ring towards Grefrath around 9.15 p.m.",57.34,0.9745,0.9599,0.9671,,,7,0,GOOD
"Ist es möglich, E-Mails gegen das Mitlesen zu schützen?",Is it possible to protect e-mails against being read?,Is it possible to protect e-mails from reading along?,67.84,0.9671,0.9707,0.9689,,,2,0,GOOD
Kindergarten hat einen privaten Käufer gefunden,A kindergarten has found a private buyer,Kindergarten has found a private buyer,94.23,0.9574,0.964,0.9607,,,2,0,GOOD
